rate,f0,vowel,cents,engine,estimated_hz,confidence,cents_error
44100,660,oo,-700,synchronous,440.51871700867105,0.9999344321341685,0.08475282474686943
44100,660,oo,-700,spectral,440.51845627310587,0.9999723571810889,0.08372813634120452
44100,660,oo,-100,legacy,623.4454556864895,0.9997246134495869,1.3567862397800237
44100,660,oo,-100,synchronous,623.0092602371146,0.99982045216601,0.14509930854188935
44100,660,oo,-100,spectral,623.0090241026833,0.9998238184466165,0.14444313202695824
44100,660,oo,25,legacy,669.4535788964798,0.999935725793185,-0.37840539631962306
44100,660,oo,25,synchronous,669.6705922699996,0.999909511709764,0.18270902864329033
44100,660,oo,25,spectral,669.6706330176048,0.9999095540301065,0.18281436944863166
44100,660,oo,100,legacy,698.8194653847783,0.999927552260951,-1.0554758369737962
44100,660,oo,100,synchronous,699.3327802962788,0.9999766540243016,0.21572806139503864
44100,660,oo,100,spectral,699.333040559742,0.9999767805215437,0.21637235678338806
44100,660,oo,700,legacy,984.6313898697579,0.9993433758238038,-7.458749571363751
44100,660,oo,700,synchronous,989.0000964646446,0.9983565331657722,0.2055646762865457
44100,660,oo,700,spectral,988.9998769446017,0.9983611865888523,0.20518040876613283
44100,660,oo,1200,legacy,1311.3103956918744,0.9971137759335521,-11.434449971331473
44100,660,oo,1200,synchronous,1320.3251262240053,0.997023645996608,0.42636384928290555
44100,660,oo,1200,spectral,1320.3209258297634,0.9970778053848107,0.42085620805575147
48000,90,ah,-1200,legacy,0.0,0.7486293547081055,
48000,90,ah,-1200,synchronous,45.00000398280353,0.9993747221193544,0.00015322588381150656
48000,90,ah,-1200,spectral,45.000009227904904,0.9995924227740887,0.00035501470059498026
48000,90,ah,-700,legacy,60.167503356577406,0.8174696817224943,2.871390529211617
48000,90,ah,-700,synchronous,60.06784414085625,0.9999458910750955,0.0014613334753394965
48000,90,ah,-700,spectral,60.06784870793325,0.9999367290658691,0.0015929626191503725
48000,90,ah,-100,legacy,84.95925369662996,0.997831297290358,0.21531011287041482
48000,90,ah,-100,synchronous,84.94886215795131,0.9999867166295575,0.003546413242322305
48000,90,ah,-100,spectral,84.9488277933626,0.999987269517355,0.0028460723948968026
48000,90,ah,25,legacy,91.30219272414918,0.9991511356019502,-0.13059146050753578
48000,90,ah,25,synchronous,91.30919723848083,0.9994455210190941,0.0022201205945137042
48000,90,ah,25,spectral,91.30915869600216,0.9994551068449207,0.0014893501186504197
48000,90,ah,100,legacy,95.33972207346753,0.9963201231787167,-0.21709798571628605
48000,90,ah,100,synchronous,95.35184527608905,0.9990900740179853,0.003028173841929534
48000,90,ah,100,spectral,95.35180801836276,0.9991010213768219,0.0023517122928518883
48000,90,ah,700,legacy,134.740275817752,0.9149684237922995,-1.3788986441877216
48000,90,ah,700,synchronous,134.84820252190627,0.9999884708169439,0.00726144817370588
48000,90,ah,700,spectral,134.84814470131005,0.9999855203942853,0.006519124549641109
48000,90,ah,1200,legacy,47.36571280816389,0.9887711752290528,-2311.298286759031
48000,90,ah,1200,synchronous,180.00076717895212,0.9993737833886536,0.007378686073684072
48000,90,ah,1200,spectral,180.00063974958837,0.9993681186166792,0.00615307945596815
48000,90,ee,-1200,legacy,0.0,0.7175175480202196,
48000,90,ee,-1200,synchronous,44.99998759459424,0.9999094132099215,-0.00047725919575703114
48000,90,ee,-1200,spectral,45.000011462630916,0.9998953426333314,0.00044098876452298785
48000,90,ee,-700,legacy,60.41797947959551,0.7990542456123219,10.063523547272855
48000,90,ee,-700,synchronous,60.0678535828806,0.9999921670483828,0.0017334649793608837
48000,90,ee,-700,spectral,60.06785791285444,0.9999817160853633,0.0018582604799415737
48000,90,ee,-100,legacy,84.97979144406949,0.9975715840926056,0.6337618912959911
48000,90,ee,-100,synchronous,84.94883539104173,0.99999817873229,0.00300091102601549
48000,90,ee,-100,spectral,84.94883896225063,0.9999981858845356,0.0030736912860670823
48000,90,ee,25,legacy,91.29063130317078,0.9994536249906539,-0.3498281779060791
48000,90,ee,25,synchronous,91.30909375215701,0.9999237936400786,0.0002580055572056251
48000,90,ee,25,spectral,91.30908548487835,0.9999209164305362,0.00010125671240156224
48000,90,ee,100,legacy,95.31793974968119,0.9972176174056687,-0.612679263805796
48000,90,ee,100,synchronous,95.35185334625749,0.9998730138650556,0.003174698009931132
48000,90,ee,100,spectral,95.35185837692035,0.999874011488926,0.0032660360834410353
48000,90,ee,700,legacy,134.5813346006524,0.9039585296272452,-3.4222881691527633
48000,90,ee,700,synchronous,134.84810944154387,0.999998497296357,0.006066445605580471
48000,90,ee,700,spectral,134.84811181951383,0.9999952469354013,0.006096974936472249
48000,90,ee,1200,legacy,47.36196424801544,0.9903972688963687,-2311.435303419188
48000,90,ee,1200,synchronous,180.00027907587813,0.9998861811207689,0.002684140488594469
48000,90,ee,1200,spectral,180.0003481732492,0.9999173537299927,0.003348715561157947
